cm_mac_addr,direction,sf_index,bin_num,start_value,end_value,delta
0c:b9:37:64:3a:b0,downstream,1,1,,2.0,2.0
0c:b9:37:64:3a:b0,downstream,1,2,,0.0,0
0c:b9:37:64:3a:b0,downstream,1,3,,0.0,0
0c:b9:37:64:3a:b0,downstream,1,4,,0.0,0
0c:b9:37:64:3a:b0,downstream,1,5,,0.0,0
0c:b9:37:64:3a:b0,downstream,1,6,,0.0,0
0c:b9:37:64:3a:b0,downstream,1,7,,0.0,0
0c:b9:37:64:3a:b0,downstream,1,8,,0.0,0
0c:b9:37:64:3a:b0,downstream,1,9,,0.0,0
0c:b9:37:64:3a:b0,downstream,1,10,,0.0,0
0c:b9:37:64:3a:b0,downstream,1,11,,0.0,0
0c:b9:37:64:3a:b0,downstream,1,12,,0.0,0
0c:b9:37:64:3a:b0,downstream,1,13,,0.0,0
0c:b9:37:64:3a:b0,downstream,1,14,,0.0,0
0c:b9:37:64:3a:b0,downstream,1,15,,0.0,0
0c:b9:37:64:3a:b0,downstream,1,16,,0.0,0
0c:b9:37:64:3a:b0,downstream,4,1,0.0,0.0,0
0c:b9:37:64:3a:b0,downstream,4,2,0.0,0.0,0
0c:b9:37:64:3a:b0,downstream,4,3,0.0,0.0,0
0c:b9:37:64:3a:b0,downstream,4,4,0.0,0.0,0
0c:b9:37:64:3a:b0,downstream,4,5,0.0,0.0,0
0c:b9:37:64:3a:b0,downstream,4,6,0.0,0.0,0
0c:b9:37:64:3a:b0,downstream,4,7,0.0,0.0,0
0c:b9:37:64:3a:b0,downstream,4,8,0.0,0.0,0
0c:b9:37:64:3a:b0,downstream,4,9,0.0,0.0,0
0c:b9:37:64:3a:b0,downstream,4,10,0.0,0.0,0
0c:b9:37:64:3a:b0,downstream,4,11,0.0,0.0,0
0c:b9:37:64:3a:b0,downstream,4,12,0.0,0.0,0
0c:b9:37:64:3a:b0,downstream,4,13,0.0,0.0,0
0c:b9:37:64:3a:b0,downstream,4,14,0.0,0.0,0
0c:b9:37:64:3a:b0,downstream,4,15,0.0,0.0,0
0c:b9:37:64:3a:b0,downstream,4,16,0.0,0.0,0
